[LinearBatch Acquisition File]
[Application]
AppVersion=FC Control v2017-beta build 28.3.2017 12:00:53 - 2926
[PTC Status]
ID=VIRTUAL PTC DummyPTC 2016-02-23
[FLOW]
[FCSControl]OutputEnabled=
#Mereni provedeno: 13.12.2017 5:06:46
#Teplota: NAN deg C; Teplota okoli: 0.0
#Invert Current: FALSEInvert Voltage: FALSE
#From 0 mA to -10000 mA by step 6
#Prodleva mezi nacitanim bodu: 299.820107935239
#Fuel used: TODO
#Oxigen medium: TODO
#Anode material: -unspecified-
#Cathode material: -unspecified-
#Membrane: -unspecified-
#MEApreparation: -unspecified-
#GDL material: -unspecified- -unspecified-
#Press for hot-pressing: TODO
#Comment: 
#Osa X [A]	Osa Y [V]	Vykon [A*V]
#Osa X 
#-------------------------------------------------------------------------------------------------------------------------------------------------------
Time from start [ms]	Temperature [°C]	Current [mA]	Voltage [V]	Power [mW]	Instability [mV]	Time
10352	NAN	0	960	0	0	5:06:56
10555	NAN	-6	900.243137199002	-5.40145882319401	0	5:06:56
10714	NAN	-6	900.243137199002	-5.40145882319401	0	5:06:56
11038	NAN	-12	880.823965338521	-10.5698875840623	0	5:06:57
11068	NAN	-18	868.687247933302	-15.6363704627994	0	5:06:57
11365	NAN	-18	868.687247933302	-15.6363704627994	0	5:06:57
11586	NAN	-24	859.744199392957	-20.633860785431	0	5:06:57
11694	NAN	-24	859.744199392957	-20.633860785431	0	5:06:57
12032	NAN	-36	846.62587931531	-30.4785316553512	0	5:06:58
12098	NAN	-42	841.457208109429	-35.341202740596	0	5:06:58
12349	NAN	-42	841.457208109429	-35.341202740596	0	5:06:58
12597	NAN	-48	836.886274398004	-40.1705411711042	0	5:06:58
12675	NAN	-48	836.886274398004	-40.1705411711042	0	5:06:58
13005	NAN	-54	832.774611735403	-44.9698290337118	0	5:06:59
13111	NAN	-60	829.026911549246	-49.7416146929548	0	5:06:59
13330	NAN	-60	829.026911549246	-49.7416146929548	0	5:06:59
13613	NAN	-66	825.574763810942	-54.4879344115222	0	5:06:59
13675	NAN	-66	825.574763810942	-54.4879344115222	0	5:06:59
14001	NAN	-72	822.367399791568	-59.2104527849929	0	5:07:00
14125	NAN	-78	819.366103609669	-63.9105560815542	0	5:07:00
14447	NAN	-78	819.366103609669	-63.9105560815542	0	5:07:00
14626	NAN	-90	813.867102537523	-73.2480392283771	0	5:07:00
14799	NAN	-90	813.867102537523	-73.2480392283771	0	5:07:00
15127	NAN	-96	811.325978601363	-77.8872939457308	0	5:07:01
15452	NAN	-102	808.901394270638	-82.5079422156051	0	5:07:01
15639	NAN	-108	806.580145144156	-87.1106556755689	0	5:07:01
15783	NAN	-108	806.580145144156	-87.1106556755689	0	5:07:01
16111	NAN	-114	804.351151175247	-91.6960312339782	0	5:07:02
16155	NAN	-120	802.205024077849	-96.2646028893418	0	5:07:02
16435	NAN	-120	802.205024077849	-96.2646028893418	0	5:07:02
16660	NAN	-126	800.133739533083	-100.816851181168	0	5:07:02
16763	NAN	-126	800.133739533083	-100.816851181168	0	5:07:02
17092	NAN	-132	798.130385132304	-105.353210837464	0	5:07:03
17173	NAN	-144	794.304239843552	-114.379810537471	0	5:07:03
17426	NAN	-144	794.304239843552	-114.379810537471	0	5:07:03
17679	NAN	-150	792.471613689478	-118.870742053422	0	5:07:03
17747	NAN	-150	792.471613689478	-118.870742053422	0	5:07:03
18075	NAN	-156	790.687024331354	-123.347175795691	0	5:07:04
18182	NAN	-162	788.946867691723	-127.809392566059	0	5:07:04
18407	NAN	-162	788.946867691723	-127.809392566059	0	5:07:04
18703	NAN	-168	787.247930677043	-132.257652353743	0	5:07:04
18738	NAN	-168	787.247930677043	-132.257652353743	0	5:07:04
19056	NAN	-174	785.587336591959	-136.692196567001	0	5:07:05
19212	NAN	-180	783.962499759157	-141.113249956648	0	5:07:05
19385	NAN	-180	783.962499759157	-141.113249956648	0	5:07:05
19713	NAN	-186	782.371087542445	-145.521022282895	0	5:07:05
19728	NAN	-192	780.810988369456	-149.915709766936	0	5:07:05
20039	NAN	-192	780.810988369456	-149.915709766936	0	5:07:06
20242	NAN	-198	779.280284651321	-154.297496360962	0	5:07:06
20368	NAN	-198	779.280284651321	-154.297496360962	0	5:07:06
20695	NAN	-210	776.300228129161	-163.023047907124	0	5:07:06
20758	NAN	-216	774.847818630603	-167.36712882421	0	5:07:06
21023	NAN	-216	774.847818630603	-167.36712882421	0	5:07:07
21256	NAN	-222	773.418659586629	-171.698942428232	0	5:07:07
21349	NAN	-222	773.418659586629	-171.698942428232	0	5:07:07
21679	NAN	-228	772.011516236208	-176.018625701855	0	5:07:07
21771	NAN	-234	770.625249640979	-180.326308415989	0	5:07:07
22005	NAN	-234	770.625249640979	-180.326308415989	0	5:07:08
22272	NAN	-240	769.258807019759	-184.622113684742	0	5:07:08
22333	NAN	-240	769.258807019759	-184.622113684742	0	5:07:08
22663	NAN	-246	767.911213271823	-188.906158464869	0	5:07:08
22784	NAN	-252	766.581563517693	-193.178554006459	0	5:07:08
22989	NAN	-252	766.581563517693	-193.178554006459	0	5:07:08
23284	NAN	-258	765.269016514312	-197.439406260693	0	5:07:09
23315	NAN	-258	765.269016514312	-197.439406260693	0	5:07:09
23643	NAN	-264	763.972788824424	-201.688816249648	0	5:07:09
23800	NAN	-270	762.692149638792	-205.926880402474	0	5:07:09
23969	NAN	-270	762.692149638792	-205.926880402474	0	5:07:09
24300	NAN	-282	760.1749495133	-214.369335762751	0	5:07:10
24625	NAN	-288	758.937151007042	-218.573899490028	0	5:07:10
24812	NAN	-294	757.712458881529	-222.767462911169	0	5:07:10
24959	NAN	-294	757.712458881529	-222.767462911169	0	5:07:10
25281	NAN	-300	756.500345308431	-226.950103592529	0	5:07:11
25312	NAN	-306	755.300313716597	-231.121895997279	0	5:07:11
25609	NAN	-306	755.300313716597	-231.121895997279	0	5:07:11
25826	NAN	-312	754.111896371749	-235.282911667986	0	5:07:11
25968	NAN	-312	754.111896371749	-235.282911667986	0	5:07:11
26296	NAN	-318	752.934652185997	-239.433219395147	0	5:07:12
26328	NAN	-324	751.768164731479	-243.572885372999	0	5:07:12
26622	NAN	-324	751.768164731479	-243.572885372999	0	5:07:12
26843	NAN	-330	750.6120404357	-247.701973343781	0	5:07:12
26949	NAN	-330	750.6120404357	-247.701973343781	0	5:07:12
27277	NAN	-336	749.465906939006	-251.820544731506	0	5:07:13
27343	NAN	-348	747.202220112857	-260.026372599274	0	5:07:13
27605	NAN	-348	747.202220112857	-260.026372599274	0	5:07:13
27860	NAN	-354	746.084015286143	-264.113741411295	0	5:07:13
27936	NAN	-354	746.084015286143	-264.113741411295	0	5:07:13
28262	NAN	-360	744.974495866604	-268.190818511977	0	5:07:14
28356	NAN	-366	743.873375502354	-272.257655433861	0	5:07:14
28588	NAN	-366	743.873375502354	-272.257655433861	0	5:07:14
28868	NAN	-372	742.780381773392	-276.314302019702	0	5:07:14
28915	NAN	-372	742.780381773392	-276.314302019702	0	5:07:14
29244	NAN	-378	741.695255302235	-280.360806504245	0	5:07:15
29434	NAN	-384	740.617748934405	-284.397215590812	0	5:07:15
29572	NAN	-384	740.617748934405	-284.397215590812	0	5:07:15
29897	NAN	-390	739.547626982289	-288.423574523093	0	5:07:15
29944	NAN	-396	738.484664526582	-292.439927152526	0	5:07:15
30230	NAN	-396	738.484664526582	-292.439927152526	0	5:07:16
30508	NAN	-402	737.428646770122	-296.446316001589	0	5:07:16
30554	NAN	-402	737.428646770122	-296.446316001589	0	5:07:16
30881	NAN	-408	736.379368439486	-300.44278232331	0	5:07:16
31007	NAN	-420	734.300253291503	-308.406106382431	0	5:07:17
31207	NAN	-420	734.300253291503	-308.406106382431	0	5:07:17
31519	NAN	-426	733.270048748248	-312.373040766754	0	5:07:17
31535	NAN	-426	733.270048748248	-312.373040766754	0	5:07:17
31868	NAN	-432	732.245847255264	-316.330206014274	0	5:07:17
32023	NAN	-438	731.227483583052	-320.277637809377	0	5:07:18
32196	NAN	-438	731.227483583052	-320.277637809377	0	5:07:18
32521	NAN	-444	730.214799231335	-324.215370858713	0	5:07:18
32536	NAN	-450	729.207642068543	-328.143438930844	0	5:07:18
32848	NAN	-450	729.207642068543	-328.143438930844	0	5:07:18
33036	NAN	-456	728.20586599511	-332.06187489377	0	5:07:19
33176	NAN	-456	728.20586599511	-332.06187489377	0	5:07:19
33502	NAN	-462	727.209330628743	-335.970710750479	0	5:07:19
33548	NAN	-468	726.217901009944	-339.869977672654	0	5:07:19
33829	NAN	-468	726.217901009944	-339.869977672654	0	5:07:19
34047	NAN	-474	725.231447326259	-343.759706032647	0	5:07:20
34160	NAN	-474	725.231447326259	-343.759706032647	0	5:07:20
34484	NAN	-486	723.272972714976	-351.510664739478	0	5:07:20
34562	NAN	-492	722.300715650594	-355.371952100092	0	5:07:20
34817	NAN	-492	722.300715650594	-355.371952100092	0	5:07:20
35067	NAN	-498	721.332961806363	-359.223814979569	0	5:07:21
35140	NAN	-498	721.332961806363	-359.223814979569	0	5:07:21
35468	NAN	-504	720.369603531694	-363.066280179974	0	5:07:21
35576	NAN	-510	719.41053699057	-366.899373865191	0	5:07:21
35800	NAN	-510	719.41053699057	-366.899373865191	0	5:07:21
36077	NAN	-516	718.455661983424	-370.723121583447	0	5:07:22
36124	NAN	-516	718.455661983424	-370.723121583447	0	5:07:22
36452	NAN	-522	717.504881779291	-374.53754828879	0	5:07:22
36590	NAN	-528	716.558102957537	-378.34267836158	0	5:07:22
36778	NAN	-528	716.558102957537	-378.34267836158	0	5:07:22
37109	NAN	-534	715.615235258514	-382.138535628046	0	5:07:23
37146	NAN	-540	714.67619144254	-385.925143378972	0	5:07:23
37440	NAN	-540	714.67619144254	-385.925143378972	0	5:07:23
37651	NAN	-546	713.74088715666	-389.702524387536	0	5:07:23
37764	NAN	-546	713.74088715666	-389.702524387536	0	5:07:23
38090	NAN	-558	711.88117344795	-397.229694783956	0	5:07:24
38152	NAN	-564	710.956608652639	-400.979527280089	0	5:07:24
38416	NAN	-564	710.956608652639	-400.979527280089	0	5:07:24
38665	NAN	-570	710.035472422791	-404.720219280991	0	5:07:24
38745	NAN	-570	710.035472422791	-404.720219280991	0	5:07:24
39072	NAN	-576	709.117693079099	-408.451791213561	0	5:07:25
39166	NAN	-582	708.203201166869	-412.174263079118	0	5:07:25
39400	NAN	-582	708.203201166869	-412.174263079118	0	5:07:25
39710	NAN	-588	707.291929364903	-415.887654466563	0	5:07:25
39728	NAN	-588	707.291929364903	-415.887654466563	0	5:07:25
40056	NAN	-594	706.383812399002	-419.591984565007	0	5:07:26
40225	NAN	-600	705.478786959808	-423.287272175885	0	5:07:26
40399	NAN	-600	705.478786959808	-423.287272175885	0	5:07:26
40725	NAN	-606	704.576791624732	-426.973535724588	0	5:07:26
41055	NAN	-612	703.677766783711	-430.650793271631	0	5:07:27
41239	NAN	-618	702.781654568592	-434.31906252339	0	5:07:27
41384	NAN	-618	702.781654568592	-434.31906252339	0	5:07:27
41708	NAN	-630	700.997944852911	-441.628705257334	0	5:07:27
41740	NAN	-636	700.110239736526	-445.27011247243	0	5:07:27
42036	NAN	-636	700.110239736526	-445.27011247243	0	5:07:28
42253	NAN	-642	699.225231895305	-448.902598876786	0	5:07:28
42363	NAN	-642	699.225231895305	-448.902598876786	0	5:07:28
42692	NAN	-648	698.342871223974	-452.526180553135	0	5:07:28
42755	NAN	-654	697.463109000575	-456.140873286376	0	5:07:28
43017	NAN	-654	697.463109000575	-456.140873286376	0	5:07:29
43268	NAN	-660	696.585897836005	-459.746692571764	0	5:07:29
43347	NAN	-660	696.585897836005	-459.746692571764	0	5:07:29
43673	NAN	-666	695.711191625842	-463.343653622811	0	5:07:29
43781	NAN	-672	694.838945504322	-466.931771378904	0	5:07:29
44004	NAN	-672	694.838945504322	-466.931771378904	0	5:07:30
44312	NAN	-678	693.969115800365	-470.511060512647	0	5:07:30
44329	NAN	-678	693.969115800365	-470.511060512647	0	5:07:30
44657	NAN	-684	693.10165999553	-474.081535436943	0	5:07:30
44859	NAN	-696	691.373705533139	-481.196099051065	0	5:07:30
44983	NAN	-696	691.373705533139	-481.196099051065	0	5:07:30
45311	NAN	-702	690.513127248612	-484.740215328526	0	5:07:31
45388	NAN	-708	689.654763537185	-488.275572584327	0	5:07:31
45639	NAN	-708	689.654763537185	-488.275572584327	0	5:07:31
45917	NAN	-714	688.798577073924	-491.802184030782	0	5:07:31
45967	NAN	-714	688.798577073924	-491.802184030782	0	5:07:31
46295	NAN	-720	687.94453146964	-495.320062658141	0	5:07:32
46418	NAN	-726	687.092591239867	-498.829221240144	0	5:07:32
46623	NAN	-726	687.092591239867	-498.829221240144	0	5:07:32
46933	NAN	-732	686.242721775121	-502.329672339389	0	5:07:32
46949	NAN	-732	686.242721775121	-502.329672339389	0	5:07:32
47277	NAN	-738	685.394889312362	-505.821428312523	0	5:07:33
47432	NAN	-744	684.54906090762	-509.304501315269	0	5:07:33
47616	NAN	-744	684.54906090762	-509.304501315269	0	5:07:33
47934	NAN	-750	683.705204409708	-512.778903307281	0	5:07:33
47954	NAN	-756	682.863288434995	-516.244646056856	0	5:07:33
48259	NAN	-756	682.863288434995	-516.244646056856	0	5:07:34
48447	NAN	-768	681.1851562139	-523.150199972275	0	5:07:34
48587	NAN	-768	681.1851562139	-523.150199972275	0	5:07:34
48929	NAN	-774	680.348880824558	-526.590033758208	0	5:07:34
48960	NAN	-780	679.514427628589	-530.0212535503	0	5:07:34
49261	NAN	-780	679.514427628589	-530.0212535503	0	5:07:35
49461	NAN	-786	678.681768734866	-533.443870225604	0	5:07:35
49585	NAN	-786	678.681768734866	-533.443870225604	0	5:07:35
49914	NAN	-792	677.850876887768	-536.857894495112	0	5:07:35
49976	NAN	-798	677.021725448021	-540.263336907521	0	5:07:35
50241	NAN	-798	677.021725448021	-540.263336907521	0	5:07:36
50477	NAN	-804	676.194288374249	-543.660207852896	0	5:07:36
