[LinearBatch Acquisition File]
[Application]
AppVersion=FC Control v2017-beta build 28.3.2017 12:00:53 - 2926
[PTC Status]
ID=VIRTUAL PTC DummyPTC 2016-02-23
[FLOW]
[FCSControl]OutputEnabled=
#Mereni provedeno: 13.12.2017 5:08:49
#Teplota: NAN deg C; Teplota okoli: NAN
#Invert Current: FALSEInvert Voltage: FALSE
#From 0 mA to 6000 mA by step 300
#Prodleva mezi nacitanim bodu: 23809.5238095238
#Fuel used: TODO
#Oxigen medium: TODO
#Anode material: -unspecified-
#Cathode material: -unspecified-
#Membrane: -unspecified-
#MEApreparation: -unspecified-
#GDL material: -unspecified- -unspecified-
#Press for hot-pressing: TODO
#Comment: 
#Osa X [A]	Osa Y [V]	Vykon [A*V]
#Osa X 
#-------------------------------------------------------------------------------------------------------------------------------------------------------
Time from start [ms]	Temperature [°C]	Current [mA]	Voltage [V]	Power [mW]	Instability [mV]	Time
10527	NAN	0	960	0	0	5:08:59
11042	NAN	0	960	0	0	5:09:00
11555	NAN	0	960	0	0	5:09:00
12056	NAN	0	960	0	0	5:09:01
12569	NAN	0	960	0	0	5:09:01
13071	NAN	0	960	0	0	5:09:02
13587	NAN	0	960	0	0	5:09:02
14085	NAN	0	960	0	0	5:09:03
14599	NAN	0	960	0	0	5:09:03
15098	NAN	0	960	0	0	5:09:04
15612	NAN	0	960	0	0	5:09:04
16112	NAN	0	960	0	0	5:09:05
16627	NAN	0	960	0	0	5:09:05
17127	NAN	0	960	0	0	5:09:06
17646	NAN	0	960	0	0	5:09:06
18141	NAN	0	960	0	0	5:09:07
18655	NAN	0	960	0	0	5:09:07
19157	NAN	0	960	0	0	5:09:08
19672	NAN	0	960	0	0	5:09:08
20187	NAN	0	960	0	0	5:09:09
20699	NAN	0	960	0	0	5:09:09
21213	NAN	0	960	0	0	5:09:10
21727	NAN	0	960	0	0	5:09:10
22243	NAN	0	960	0	0	5:09:11
22742	NAN	0	960	0	0	5:09:11
23256	NAN	0	960	0	0	5:09:12
23759	NAN	0	960	0	0	5:09:12
24274	NAN	0	960	0	0	5:09:13
24772	NAN	0	960	0	0	5:09:13
25285	NAN	0	960	0	0	5:09:14
25786	NAN	0	960	0	0	5:09:14
26299	NAN	0	960	0	0	5:09:15
26799	NAN	0	960	0	0	5:09:15
27312	NAN	0	960	0	0	5:09:16
27816	NAN	0	960	0	0	5:09:16
28327	NAN	0	960	0	0	5:09:17
28826	NAN	0	960	0	0	5:09:17
29342	NAN	0	960	0	0	5:09:18
29840	NAN	0	960	0	0	5:09:18
30354	NAN	0	960	0	0	5:09:19
30854	NAN	0	960	0	0	5:09:19
31368	NAN	0	960	0	0	5:09:20
31868	NAN	0	960	0	0	5:09:20
32382	NAN	0	960	0	0	5:09:21
32885	NAN	0	960	0	0	5:09:21
33396	NAN	0	960	0	0	5:09:22
33835	NAN	0	960	0	0	5:09:22
33896	NAN	300	1130	339	0	5:09:22
34411	NAN	300	1130	339	0	5:09:23
34918	NAN	300	1130	339	0	5:09:23
35500	NAN	300	1130	339	0	5:09:24
36004	NAN	300	1130	339	0	5:09:25
36517	NAN	300	1130	339	0	5:09:25
37018	NAN	300	1130	339	0	5:09:26
37542	NAN	300	1130	339	0	5:09:26
38062	NAN	300	1130	339	0	5:09:27
38575	NAN	300	1130	339	0	5:09:27
39092	NAN	300	1130	339	0	5:09:28
39605	NAN	300	1130	339	0	5:09:28
40131	NAN	300	1130	339	0	5:09:29
40650	NAN	300	1130	339	0	5:09:29
41165	NAN	300	1130	339	0	5:09:30
41664	NAN	300	1130	339	0	5:09:30
42182	NAN	300	1130	339	0	5:09:31
42680	NAN	300	1130	339	0	5:09:31
43196	NAN	300	1130	339	0	5:09:32
43706	NAN	300	1130	339	0	5:09:32
44242	NAN	300	1130	339	0	5:09:33
44753	NAN	300	1130	339	0	5:09:33
45257	NAN	300	1130	339	0	5:09:34
45767	NAN	300	1130	339	0	5:09:34
46272	NAN	300	1130	339	0	5:09:35
46780	NAN	300	1130	339	0	5:09:35
47284	NAN	300	1130	339	0	5:09:36
47794	NAN	300	1130	339	0	5:09:36
48303	NAN	300	1130	339	0	5:09:37
48810	NAN	300	1130	339	0	5:09:37
49311	NAN	300	1130	339	0	5:09:38
49825	NAN	300	1130	339	0	5:09:38
50328	NAN	300	1130	339	0	5:09:39
50837	NAN	300	1130	339	0	5:09:39
51347	NAN	300	1130	339	0	5:09:40
51868	NAN	300	1130	339	0	5:09:40
52381	NAN	300	1130	339	0	5:09:41
52900	NAN	300	1130	339	0	5:09:41
53427	NAN	300	1130	339	0	5:09:42
53947	NAN	300	1130	339	0	5:09:42
54456	NAN	300	1130	339	0	5:09:43
55008	NAN	300	1130	339	0	5:09:44
55520	NAN	300	1130	339	0	5:09:44
56017	NAN	300	1130	339	0	5:09:45
56531	NAN	300	1130	339	0	5:09:45
57033	NAN	300	1130	339	0	5:09:46
57548	NAN	300	1130	339	0	5:09:46
57670	NAN	300	1130	339	0	5:09:46
58046	NAN	600	1160	696	0	5:09:47
58560	NAN	600	1160	696	0	5:09:47
59058	NAN	600	1160	696	0	5:09:48
59576	NAN	600	1160	696	0	5:09:48
60073	NAN	600	1160	696	0	5:09:49
60590	NAN	600	1160	696	0	5:09:49
61093	NAN	600	1160	696	0	5:09:50
61602	NAN	600	1160	696	0	5:09:50
62100	NAN	600	1160	696	0	5:09:51
62615	NAN	600	1160	696	0	5:09:51

Maximalni Vykon [mW]	Odpovídající proud [mA]	Odpovídající napìtí [V]	Maximální nestabilita [mV]	pøi napìtí [mV]
696	600	1.16	0	0
