[PtcServer Acquisition File]
PtcServerVersion=1.0.0.49
[PTC Status]
ID=Potenciostat [kolibrik.net] 1.4C_20161122 (PTC1, PTC-gamma-rC)
Serial=Kl-Ptc-150238
Setpoint=0
Range=15A
Feedback=Vout
OutputEnabled=0
Switches=35264
AutoCalib=3
AutoRange=0
Vout=0.000146073
Vsense=0.0001361543
Vref=-0.001683696
I=0.00571004
[ACQ CV]
Timestamp=2017-01-18 20:44:45.543
StepReduction=1
AvgOnReduction=1
ChannelMask=15
VChannel=1
Start=0
Margin1=-0.05
Margin2=0.05
End=0
Speed=50
Step=0.001
Sweeps=102
WaitFirst=10
WaitStep=2
WaitSweep=1
RelayAfterOff=1
ChannelCount=4
Channel1=Vout
Channel1Src=Tag3/Channel0
Channel2=Vsense
Channel2Src=Tag3/Channel1
Channel3=Vref
Channel3Src=Tag3/Channel2
Channel4=I
Channel4Src=Tag3/Channel3
[DataHeader]
Number	Vout	Vsense	Vref	I
[Data]
0	-1.995016E-5	7.93221E-5	-0.001731021	0.002264889
1	-2.265582E-5	6.23151E-5	-0.001690607	0.00293141
2	-0.0001379234	6.78309E-5	-0.001741403	0.00171759
3	-0.000409826	8.34918E-5	-0.001737932	-0.000472397
4	-0.000714131	5.92618E-5	-0.001711666	-0.00362409
5	-0.001209462	7.91251E-5	-0.001712255	-0.00750967
6	-0.001686245	9.19296E-5	-0.001741993	-0.01217895
7	-0.002332343	5.89663E-5	-0.001710421	-0.01739017
8	-0.002955981	1.247616E-6	-0.00178922	-0.02282386
9	-0.0035745	-5.72262E-5	-0.001769373	-0.02892532
10	-0.00430421	-4.71796E-5	-0.001735672	-0.0352582
11	-0.00512152	-7.61702E-6	-0.001759089	-0.0421242
12	-0.00583607	-8.58228E-5	-0.001782342	-0.0490595
13	-0.006731	-0.0001329696	-0.001823215	-0.0570297
14	-0.00789893	-0.0001213471	-0.001807626	-0.067854
15	-0.00927174	-0.0002515259	-0.001832255	-0.0806462
16	-0.0106396	-0.0003100982	-0.001786207	-0.0944535
17	-0.01202421	-0.000334492	-0.001857145	-0.1074339
18	-0.01333052	-0.000532798	-0.001830093	-0.1200782
19	-0.01459758	-0.000515955	-0.001801796	-0.1322618
20	-0.01578654	-0.000593537	-0.001815945	-0.1437877
21	-0.0168882	-0.000628109	-0.001784013	-0.1549656
22	-0.018053	-0.000668525	-0.001863827	-0.1659615
23	-0.019107	-0.000800149	-0.001804416	-0.1765873
24	-0.02012547	-0.000833834	-0.001761251	-0.1868986
25	-0.02123375	-0.000866141	-0.001805464	-0.1972354
26	-0.02229378	-0.000982005	-0.001755028	-0.2074935
27	-0.02338798	-0.000994547	-0.001760465	-0.2174919
