[PtcServer Acquisition File]
PtcServerVersion=1.0.0.51
[PTC Status]
ID=Potenciostat [kolibrik.net] 1.4C_20161122 (PTC1, PTC-gamma-rC)
Serial=Kl-Ptc-150238
Setpoint=0.8
Range=15A
Feedback=Vsense
OutputEnabled=1
Switches=35264
AutoCalib=3
AutoRange=0
Vout=0.821156
Vsense=0.799924
Vref=-0.001712026
I=0.780012
[ACQ EIS]
Timestamp=2017-01-26 16:57:34.428
fStart=1
fEnd=100000
VAmp=9
PointsPerDecade=10
VRange=4
IRange=3
Periods=5
Samples=2048
ChannelCount=14
Channel1=Z
Channel2=Phi
Channel3=Re
Channel4=Im
Channel5=GenFreq
Channel6=SampleRate
Channel7=AmpV
Channel8=AmpI
Channel9=AmpGen
Channel10=Vout
Channel11=Vsense
Channel12=Vref
Channel13=I
Channel14=timestamp
[DataHeader]
Number	Z	Phi	Re	Im	GenFreq	SampleRate	AmpV	AmpI	AmpGen	Vout	Vsense	Vref	I	timestamp
[Data]
0	1.023702	-4.986282	1.019827	-0.0889773	1	446.4286	0.00964609	0.009422756	9	0.829823	0.808555	-0.001791742	0.788009	2017-01-26 16:57:39.817
1	1.027999	-6.054947	1.022264	-0.1084356	1.258925	520.8333	0.009653156	0.009390234	9	0.830658	0.809365	-0.001719428	0.78893	2017-01-26 16:57:44.712
2	1.023445	-7.32863	1.015084	-0.1305509	1.584893	781.25	0.009627514	0.009406965	9	0.81289	0.792046	-0.001716316	0.771613	2017-01-26 16:57:48.980
3	1.011462	-9.647795	0.9971563	-0.1695121	1.995262	1041.667	0.009595148	0.009486416	9	0.818287	0.797373	-0.001782408	0.776013	2017-01-26 16:57:51.984
4	1.009826	-11.92548	0.988031	-0.2086697	2.511886	1041.667	0.009601804	0.009508375	9	0.815917	0.795019	-0.001780082	0.776491	2017-01-26 16:57:54.228
5	0.9955545	-14.48726	0.9638991	-0.2490526	3.162278	1562.5	0.009562618	0.009605319	9	0.814755	0.794006	-0.001750803	0.772616	2017-01-26 16:57:56.518
6	0.9756823	-17.66223	0.9296902	-0.2960269	3.981072	3125	0.00961859	0.009858322	9	0.817718	0.796745	-0.001715628	0.779166	2017-01-26 16:57:58.295
7	0.945167	-21.79345	0.8776143	-0.3509043	5.011872	3125	0.009562943	0.01011773	9	0.82812	0.807029	-0.001785061	0.784821	2017-01-26 16:57:59.350
8	0.9025629	-26.51883	0.8076021	-0.402987	6.309573	3125	0.009557389	0.01058917	9	0.811517	0.790816	-0.001850399	0.772152	2017-01-26 16:58:00.358
